Station Number,Address,Latitude ,Longitude
Station 111,3300 Bayview Avenue,43.79018,-79.393326
Station 112,5700 Bathurst Street,43.77637,-79.44362
Station 113,700 Seneca Hill Drive,43.79322,-79.35035
Station 114,12 Canterbury Place,43.77268,-79.41496
Station 115,115 Parkway Forest Drive,43.774208,-79.340829
Station 116,255 Esther Shiner Boulevard,43.76941,-79.36504
Station 121,10 William Carson Crescent,43.74852,-79.40641
Station 122,2545 Bayview Avenue,43.7486,-79.38427
Station 123,143 Bond Avenue,43.74615,-79.34682
Station 125,1109 Leslie Street,43.72125,-79.34957
Station 131,3135 Yonge Street,43.72617,-79.40248
Station 132,476 Lawrence Avenue West,43.719627,-79.428475
Station 133,1505 Lawrence Avenue West,43.70756,-79.4823
Station 134,16 Montgomery Avenue,43.70944,-79.39964
Station 135,325 Chaplin Crescent,43.70328,-79.4186
Station 141,4100 Keele Street,43.76693,-79.49207
Station 142,2753 Jane Street,43.74591,-79.51483
Station 143,1009 Sheppard Avenue West,43.751,-79.45983
Station 144,"2945 Keele St, North York, ON M3K 2C5",43.735255,-79.48403
Station 145,20 Beffort Road,43.73485,-79.45982
Station 146,2220 Jane Street,43.723634,-79.509425
Station 211,900 Tapscott Road,43.82409,-79.24233
Station 212,8500 Sheppard Ave East,43.80456,-79.18843
Station 213,7 Lapsley Road,43.79514,-79.22633
Station 214,745 Meadowvale Road,43.79407,-79.16415
Station 215,5318 Lawrence Avenue East,43.77707,-79.14787
Station 221,2575 Eglinton Avenue East,43.73518,-79.25518
Station 222,755 Warden Avenue,43.72029,-79.28452
Station 223,116 Dorset Road,43.72416,-79.23293
Station 224,1313 Woodbine Avenue,43.69514,-79.31685
Station 225,3600 Danforth Avenue,43.695568,-79.268502
Station 226,87 Main Street,43.68192,-79.29936
Station 227,1904 Queen Street East,43.66895,-79.3049
Station 231,740 Markham Road,43.76474,-79.22723
Station 232,1550 Midland Road,43.755087,-79.266607
Station 233,59 Curlew Drive,43.74423,-79.31474
Station 234,40 Coronation Drive,43.76078,-79.19123
Station 235,200 Bermondsey Road,43.72406,-79.3144
Station 241,3325 Warden Avenue,43.81393,-79.32439
Station 242,2733 Brimley Road,43.80679,-79.27783
Station 243,4560 Sheppard Avenue East,43.78881,-79.26274
Station 244,2340 Birchmount Road,43.78183,-79.29858
Station 245,1600 Birchmount Road,43.76277,-79.29107
Station 311,20 Balmoral Avenue,43.68571,-79.39383
Station 312,34 Yorkville Avenue,43.67166,-79.38878
Station 313,441 Bloor Street East,43.67242,-79.37547
Station 314,12 Grosvenor Street,43.66285,-79.38452
Station 315,132 Bellevue Avenue,43.65688,-79.40438
Station 321,231 McRae Drive,43.7089,-79.36508
Station 322,256 Cosburn Avenue,43.69082,-79.34208
Station 323,153 Chatham Avenue,43.67991,-79.33475
Station 324,840 Gerrard Street East,43.66749,-79.34335
Station 325,475 Dundas Street East,43.65967,-79.36492
Station 326,30 Knox Avenue,43.661268,-79.324733
Station 331,33 Claremont Street,43.64727,-79.41004
Station 332,260 Adelaide Street West,43.64806,-79.3894
Station 333,207 Front Street East,43.65077,-79.36621
Station 334,339 Queens Quay West,43.638376,-79.388979
Station 335,235 Cibola Avenue (Toronto Island),43.62551,-79.35925
Station 341,555 Oakwood Avenue,43.69441,-79.44158
Station 342,106 Ascot Avenue,43.67915,-79.44848
Station 343,65 Hendrick Avenue,43.68002,-79.43107
Station 344,240 Howland Avenue,43.673,-79.41156
Station 345,1285 Dufferin Street,43.66726,-79.4385
Station 346,"90 Quebec Street, Canadian National Exhibition",43.63356,-79.42151
Station 411,75 Toryork Drive,43.75554,-79.54885
Station 412,267 Humberline Drive,43.73794,-79.61827
Station 413,1549 Albion Road,43.74072,-79.58676
Station 415,2120 Kipling Avenue,43.71802,-79.56973
Station 421,6 Lambton Avenue,43.68397,-79.4851
Station 422,590 Jane Street,43.66445,-79.49065
Station 423,358 Keele Street,43.66482,-79.46432
Station 424,462 Runnymede Road,43.65844,-79.47927
Station 425,83 Deforest Road,43.64815,-79.47808
Station 426,140 Lansdowne Avenue,43.64517,-79.43841
Station 431,308 Prince Edward Drive,43.6465,-79.50454
Station 432,155 The East Mall,43.62336,-79.54974
Station 433,615 Royal York Road,43.62794,-79.50328
Station 434,3 Lunness Avenue,43.60247,-79.54434
Station 435,130 Eighth Street,43.60117,-79.506682
Station 441,947 Martin Grove Road,43.69484,-79.57237
Station 442,2015 Lawrence Avenue West,43.700859,-79.512461
Station 443,1724 Islington Avenue,43.678131,-79.538385
Station 444,666 Renforth Drive,43.657535,-79.58249
Station 445,280 Burnhamthorpe Road,43.649645,-79.545285